Ashley_Parry,25,1:38:06
Namal_Perera,12,2:24:56
Namal_Perera,197,2:04:01
Prabath_Silva,6,0:16:46
Bethany_William,9,1:49:12
Ashley_Parry,15,1:33:26
Namal_Perera,3,0:04:26
Aaliya_Bruce,2,0:03:37
Aaliya_Bruce,2,0:00:59
Prabath_Silva,2,0:32:26
Waruni_Fernando,15,2:38:42
Raul_Oliver,7,1:12:20
Aaliya_Bruce,2,0:00:54
Prabath_Silva,3,0:15:16
Raul_Oliver,3,0:02:10
Aaliya_Bruce,4,0:32:05
Aaliya_Bruce,4,0:08:37
Namal_Perera,3,1:37:40
Prabath_Silva,3,0:46:35
Prabath_Silva,8,0:40:13
Prabath_Silva,14,0:51:41
Raul_Oliver,2,2:05:05
7,25,1:38:06
7,12,2:24:56
7,197,2:04:01
7,6,0:16:46
7,9,1:49:12
7,15,1:33:26
7,3,0:04:26
8,25,1:38:06
8,12,2:24:56
8,197,2:04:01
8,6,0:16:46
8,9,1:49:12
8,15,1:33:26
8,3,0:04:26
8,2,0:03:37
9,25,1:38:06
9,12,2:24:56
9,197,2:04:01
9,6,0:16:46
9,9,1:49:12
9,15,1:33:26
9,3,0:04:26
9,2,0:03:37
9,2,0:00:59
